symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMD,2021-11-19 05:00:00+00:00,155.92,156.92,153.445,155.41,43058092.0,312045.0,155.603884
AMD,2021-11-22 05:00:00+00:00,157.14,161.8799,152.39,152.52,59736482.0,500400.0,156.763541
AMD,2021-11-23 05:00:00+00:00,150.41,152.66,145.2996,149.92,64646946.0,503716.0,148.530595
AMD,2021-11-24 05:00:00+00:00,149.46,157.93,147.19,157.8,61871314.0,440424.0,154.17625
AMD,2021-11-26 05:00:00+00:00,155.8,158.1,152.81,154.81,37511919.0,291913.0,155.343466
AMD,2021-11-29 05:00:00+00:00,157.5,162.505,156.1,161.91,59053495.0,435072.0,159.55901
AMD,2021-11-30 05:00:00+00:00,163.28,164.4599,155.6801,158.37,78388136.0,568750.0,159.410382
AMD,2021-12-01 05:00:00+00:00,160.37,160.88,148.92,149.11,65568838.0,526639.0,155.19024
AMD,2021-12-02 05:00:00+00:00,147.675,152.53,146.47,150.68,57501665.0,436889.0,150.042769
AMD,2021-12-03 05:00:00+00:00,151.645,152.38,140.72,144.01,67294773.0,567329.0,143.877973
AMD,2021-12-06 05:00:00+00:00,141.135,141.31,134.2,139.06,68340192.0,561536.0,137.761183
AMD,2021-12-07 05:00:00+00:00,143.9,145.76,141.0001,144.85,55311127.0,399064.0,143.828366
AMD,2021-12-08 05:00:00+00:00,144.96,147.04,142.7,145.24,42223259.0,306367.0,144.852325
AMD,2021-12-09 05:00:00+00:00,145.16,146.69,137.8,138.1,55379855.0,391317.0,140.978902
AMD,2021-12-10 05:00:00+00:00,141.29,141.365,135.82,138.55,43419240.0,306297.0,138.125525
AMD,2021-12-13 05:00:00+00:00,138.25,139.4,133.415,133.8,43508666.0,343878.0,135.612182
AMD,2021-12-14 05:00:00+00:00,131.58,137.24,130.6,135.6,52418659.0,385895.0,134.399264
AMD,2021-12-15 05:00:00+00:00,135.11,146.69,133.81,146.5,74122666.0,529689.0,139.827693
AMD,2021-12-16 05:00:00+00:00,147.0,147.93,137.02,138.64,65256998.0,561483.0,140.560787
AMD,2021-12-17 05:00:00+00:00,136.3,142.04,136.11,137.75,60723011.0,355381.0,138.702476
AMD,2021-12-20 05:00:00+00:00,135.97,138.26,133.52,135.8,39363688.0,289181.0,135.57766
AMD,2021-12-21 05:00:00+00:00,138.185,144.5,135.15,144.25,59580449.0,403479.0,140.533844
AMD,2021-12-22 05:00:00+00:00,142.65,144.5,140.27,143.88,48157390.0,352194.0,142.622299
AMD,2021-12-23 05:00:00+00:00,143.875,149.018,143.85,146.14,49713424.0,334805.0,146.758119
AMD,2021-12-27 05:00:00+00:00,147.51,154.89,147.25,154.36,54395872.0,429087.0,152.576238
AMD,2021-12-28 05:00:00+00:00,155.88,156.73,151.38,153.15,60339518.0,417176.0,153.33261
AMD,2021-12-29 05:00:00+00:00,152.82,154.3399,147.29,148.26,52370993.0,385755.0,149.045769
AMD,2021-12-30 05:00:00+00:00,147.44,148.85,144.85,145.15,45017703.0,323970.0,147.06676
AMD,2021-12-31 05:00:00+00:00,146.16,148.61,143.55,143.9,50654351.0,336699.0,145.488758
AMD,2022-01-03 05:00:00+00:00,145.135,151.65,145.02,150.24,60725631.0,437666.0,149.577108
AMD,2022-01-04 05:00:00+00:00,151.01,152.42,140.7,144.42,81922026.0,638045.0,144.383781
AMD,2022-01-05 05:00:00+00:00,142.815,143.76,135.29,136.15,65605339.0,522109.0,139.333906
AMD,2022-01-06 05:00:00+00:00,136.19,138.0,131.77,136.23,66295127.0,502306.0,135.475319
AMD,2022-01-07 05:00:00+00:00,136.28,137.44,131.13,132.0,60639096.0,422420.0,133.392975
AMD,2022-01-10 05:00:00+00:00,129.08,132.42,125.03,132.0,86749545.0,675695.0,128.574153
AMD,2022-01-11 05:00:00+00:00,133.45,138.99,131.59,137.31,78602672.0,499286.0,136.133737
AMD,2022-01-12 05:00:00+00:00,138.585,140.57,135.77,137.47,70984662.0,458695.0,138.020043
AMD,2022-01-13 05:00:00+00:00,139.44,141.25,131.81,132.74,78775858.0,535484.0,135.646589
AMD,2022-01-14 05:00:00+00:00,131.68,137.0,131.43,136.88,72433325.0,466363.0,135.070405
AMD,2022-01-18 05:00:00+00:00,134.5,136.3893,131.59,131.93,58419437.0,426781.0,133.704173
AMD,2022-01-19 05:00:00+00:00,133.55,134.57,128.02,128.27,71085719.0,502525.0,130.683218
AMD,2022-01-20 05:00:00+00:00,126.14,128.51,121.41,121.89,92598869.0,698060.0,125.811793
AMD,2022-01-21 05:00:00+00:00,120.14,125.02,118.39,118.81,98079601.0,764658.0,121.346068
AMD,2022-01-24 05:00:00+00:00,115.4,116.77,107.5,116.53,118725980.0,888740.0,112.383431
AMD,2022-01-25 05:00:00+00:00,114.06,114.82,109.86,111.13,87143556.0,602423.0,112.017902
AMD,2022-01-26 05:00:00+00:00,114.55,117.16,108.63,110.71,97012515.0,672063.0,113.113752
AMD,2022-01-27 05:00:00+00:00,111.96,112.75,101.94,102.6,127914253.0,1018138.0,106.20696
AMD,2022-01-28 05:00:00+00:00,101.55,105.4,99.35,105.24,100267115.0,767602.0,102.637968
AMD,2022-01-31 05:00:00+00:00,107.93,114.31,106.9,114.25,99581517.0,683690.0,111.472869
AMD,2022-02-01 05:00:00+00:00,116.75,117.26,112.73,116.78,123954648.0,925903.0,116.154948
AMD,2022-02-02 05:00:00+00:00,129.89,130.06,120.64,122.76,182182704.0,1254561.0,124.078729
AMD,2022-02-03 05:00:00+00:00,120.32,125.37,118.816,120.08,105944888.0,716094.0,122.092614
AMD,2022-02-04 05:00:00+00:00,120.34,124.96,118.58,123.6,87663600.0,602931.0,122.310332
AMD,2022-02-07 05:00:00+00:00,123.56,127.63,122.785,123.67,83239449.0,525099.0,125.392512
